PassengerId,Survived
713,0
714,1
715,0
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,1
733,0
734,0
735,1
736,0
737,1
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,1
746,1
747,1
748,0
749,1
750,1
751,0
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,0
768,0
769,0
770,0
771,0
772,1
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,0
790,1
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,0
809,1
810,0
811,1
812,0
813,1
814,0
815,0
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,0
824,1
825,1
826,1
827,1
828,0
829,0
830,1
831,0
832,1
833,1
834,0
835,1
836,0
837,0
838,1
839,0
840,1
841,0
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,0
850,0
851,1
852,0
853,1
854,1
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,0
865,0
866,1
867,0
868,0
869,1
870,1
871,0
872,1
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,0
881,1
882,1
883,0
884,0
885,0
886,0
887,0
888,1
889,1
890,0
891,1
892,1
893,0
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,1
913,1
914,0
915,0
916,1
917,0
918,0
919,1
920,0
921,1
922,0
923,0
924,0
925,0
926,1
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,1
939,0
940,1
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,0
950,0
951,1
952,1
953,1
954,1
955,0
956,0
957,0
958,0
959,1
960,0
961,1
962,1
963,1
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,1
976,1
977,0
978,0
979,0
980,0
981,1
982,0
983,0
984,0
985,1
986,1
987,0
988,1
989,0
990,0
991,0
992,0
993,1
994,0
995,1
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,1
1019,0
1020,0
1021,0
1022,1
1023,0
1024,0
1025,0
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,0
1072,1
1073,0
1074,1
1075,1
1076,0
1077,1
1078,1
1079,0
1080,1
1081,1
1082,0
1083,0
1084,1
1085,0
1086,0
1087,1
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,1
1097,0
1098,1
1099,0
1100,0
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,0
1108,1
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,1
1116,0
1117,0
1118,0
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,0
1130,0
